thinker_qid,quote_id,review_status,review_reason
Q34670,8b274b1fb95f7ed35233fffbf1794d87e17598ddb1c0a63338038334b34d8db2,approved,complete_and_distinct
Q34670,771740785a25e392fe428af62d75a12492cfaf48c68983830717da8b181e7d92,approved,complete_and_distinct
Q937,d00aa6047a0fb9f004b6c2f06bcd2a547cbdd39f6572d99f3c9e14e8b5db747b,approved,complete_and_distinct
Q937,387461bb679c3fdbc5db1d4a361f2e43de13fd376ba094256c54f1c9096a91cf,approved,complete_and_distinct
Q33760,c52c6765d96eef6bc876ac38528bf380adba139fe505b317ef09571eca74b984,approved,complete_and_distinct
Q33760,ab3deb3f1d903caa010b4eaf2544aef07e1ecca03bba74caee915a81a98ae2f0,approved,complete_and_distinct
Q410,beec2e6926b2ec912f182e5231ef3c8864885b821e904529a22f8e01e9cdeea0,approved,complete_and_distinct
Q410,43f0ef77ccd1efadee704d2ee7860ec41e1a7bbd2f112632b2bff356981c4f68,approved,complete_and_distinct
Q9358,33749a74cd6238fd7a4f7eceeac62b1370a2eec42cfcaaf7965688850271c77a,approved,complete_and_distinct
Q9358,adda2a9e974e83deaa4bf5d9b64ca97828834e4a80f0f20a57d0b87b1a70eee9,approved,complete_and_distinct
Q60025,2a385a8ab89ed84231ac02b184d42998bac76662d721142fd4c9270c7120d87b,approved,complete_and_distinct
Q60025,bdf0c87494a8fdb6658c4da71fbc61428a7b6263aae9cbe4e2465f2197cad111,rejected,long_for_daily
Q9364,3c9f33e9ed76ac8b23dc4bbc7d275fb0b9527afd65e839a3c7fdd72401c87068,approved,complete_and_distinct
Q9364,b4d4fdf59d301ee8406bfb39a0c74294c1ff50a6df02417e90d1a1e0e53200c2,approved,complete_and_distinct
Q50020,9e3a6bdc7cb078e4625e771fb2035473e62b147b5da83ffc64edfccd2c64df76,approved,complete_and_distinct
Q50020,ee2720aa4124340a33abae77c663145b9f3e6ec46fc7b1ada6fb278aa2186915,approved,complete_and_distinct
Q9061,740fc2db1814da7c8b92e0e9ca1b478b97abacc1c52e51793bfccea9ebce9be7,approved,complete_and_distinct
Q9061,28b4a7cf29fedfa502e581bc921ff16b0fa1deeaf1c09108b82229246b1ded44,approved,complete_and_distinct
Q81244,307320fd240407242b295c13fa0e33e85e80e99ca10bdde24526da6fb959fa37,approved,complete_and_distinct
Q81244,98837f7a2a63a2d0d7729218dae4f67e478bc40de37784821f7bff7dfd1a4fe3,approved,complete_and_distinct
Q9387,34d3d3fafe7ca226c66f6f2e57d816b8452fda6f88581d5797e0e561ac663dd4,rejected,source_text_needs_revision
Q9387,83343f263d35d903ca5bd191f8d4e7153ff3183a8e2491b408fb92bde026b14f,rejected,source_text_needs_revision
Q44272,b2a858fe5b3abd3aea3220001647fdd8c6cae55f421f55cd2b3eb42cb9abc6d9,approved,complete_and_distinct
Q44272,b282c3002788a2fffc1d260302a8e14d061dfcf88df29bcfd27a0435d856f25b,approved,complete_and_distinct
Q8023,24295aa701a4948deac4a74b8e4a1e8663cab667fc62b64297d688671936a04a,approved,complete_and_distinct
Q8023,655ecd60a421ff7d89cb5649d919cb92d1c04777c71eff85f8b7b1858ab1eab4,approved,complete_and_distinct
Q9191,5c0b186b0f019aaef66d815cb9ad61ab64dde804ac5ce4cee6d79a0c5e35d500,approved,complete_and_distinct
Q9191,8f2cede5c8712b38244eaa0ba27b33527c10a869f8f78c2f05fe81310621460d,approved,complete_and_distinct
Q39246,54df3cfc293a6a38f6882e68a6fa5a62a9a819d14d1548a26e1ace11b326bad5,approved,complete_and_distinct
Q39246,12a4e8cb92c3d68178096ebb8b5a7114cc3d4ba1e2e9986e3b47aa36139dd326,approved,complete_and_distinct
Q7197,0f58b6a8f76d7cc02ed735ec8897d3248993be78720ffcf164b3eb61baf08175,approved,complete_and_distinct
Q7197,be3a96451ed73c245c99297b149fca1289e8c557c67d9aa511458a39a1df194f,approved,complete_and_distinct
Q913,c7ffd58ddbfee18e48675b1b5091ccfab9ded8cb3517d2ca6095da01638b9436,approved,complete_and_distinct
Q913,63d334af5304bd4d77305108434625878c6df3622f4de61e6fecd9dd66ce4d67,approved,complete_and_distinct
